Time	TS	TMT	TMR	SeqExp	SeqRcv
10:49:13.082	8932	1405673353051	1405673353082	8	8
10:49:13.347	9196	1405673353316	1405673353347	1	9
10:49:13.613	9460	1405673353582	1405673353613	0	0
10:49:13.878	9728	1405673353847	1405673353878	1	1
10:49:14.144	9992	1405673354112	1405673354144	2	2
10:49:14.409	10256	1405673354378	1405673354409	3	3
10:49:14.674	10520	1405673354643	1405673354674	4	4
10:49:14.940	10788	1405673354908	1405673354940	5	5
10:49:15.189	11052	1405673355174	1405673355189	6	6
10:49:15.470	11316	1405673355439	1405673355470	7	7
10:49:15.720	11580	1405673355705	1405673355720	8	8
10:49:16.001	11848	1405673355970	1405673356001	1	9
10:49:16.267	12116	1405673356235	1405673356267	0	0
10:49:16.532	12380	1405673356501	1405673356532	1	1
10:49:16.797	12644	1405673356766	1405673356797	2	2
10:49:17.063	12908	1405673357031	1405673357063	3	3
10:49:17.328	13180	1405673357297	1405673357328	4	4
10:49:17.593	13440	1405673357562	1405673357593	5	5
10:49:17.859	13704	1405673357828	1405673357859	6	6
10:49:18.124	13972	1405673358093	1405673358124	7	7
10:49:18.390	14236	1405673358358	1405673358390	8	8
10:49:18.655	14504	1405673358624	1405673358655	1	9
10:49:18.920	14764	1405673358889	1405673358920	0	0
10:49:19.186	15032	1405673359154	1405673359186	1	1
10:49:19.451	15296	1405673359420	1405673359451	2	2
10:49:19.716	15560	1405673359685	1405673359716	3	3
10:49:19.982	15832	1405673359951	1405673359982	4	4
10:49:20.247	16092	1405673360216	1405673360247	5	5
10:49:20.513	16356	1405673360481	1405673360513	6	6
10:49:20.778	236	1405673360747	1405673360778	7	7
10:49:21.043	504	1405673361012	1405673361043	8	8
10:49:21.309	768	1405673361277	1405673361309	1	9
10:49:21.574	1032	1405673361543	1405673361574	0	0
10:49:21.839	1296	1405673361808	1405673361839	1	1
10:49:22.105	1564	1405673362074	1405673362105	2	2
10:49:22.370	1836	1405673362339	1405673362370	3	3
10:49:22.636	2100	1405673362604	1405673362636	4	4
10:49:22.885	2360	1405673362870	1405673362885	5	5
10:49:23.151	2624	1405673363135	1405673363151	6	6
10:49:23.432	2896	1405673363400	1405673363432	7	7
10:49:23.697	3172	1405673363666	1405673363697	8	8
10:49:23.962	3420	1405673363931	1405673363962	1	9
10:49:24.228	3684	1405673364197	1405673364228	0	0
10:49:24.493	3952	1405673364462	1405673364493	1	1
10:49:24.759	4216	1405673364727	1405673364759	2	2
10:49:25.024	4480	1405673364993	1405673365024	3	3
10:49:25.289	4744	1405673365258	1405673365289	4	4
10:49:25.555	5012	1405673365523	1405673365555	5	5
10:49:25.804	5276	1405673365789	1405673365804	6	6
10:49:26.085	5540	1405673366054	1405673366085	7	7
10:49:26.335	5808	1405673366320	1405673366335	8	8
10:49:26.616	6072	1405673366585	1405673366616	1	9
10:49:26.882	6340	1405673366850	1405673366882	0	0
10:49:27.147	6604	1405673367116	1405673367147	1	1
10:49:27.412	6876	1405673367381	1405673367412	2	2
10:49:27.678	7132	1405673367646	1405673367678	3	3
10:49:27.943	7400	1405673367912	1405673367943	4	4
10:49:28.208	7664	1405673368177	1405673368208	5	5
10:49:28.474	7928	1405673368443	1405673368474	6	6
10:49:28.739	8192	1405673368708	1405673368739	7	7
10:49:29.005	8460	1405673368973	1405673369005	8	8
10:49:29.270	8724	1405673369239	1405673369270	1	9
10:49:29.535	8988	1405673369504	1405673369535	0	0
10:49:29.801	9260	1405673369769	1405673369801	1	1
10:49:30.066	9520	1405673370035	1405673370066	2	2
10:49:30.331	9784	1405673370300	1405673370331	3	3
10:49:30.597	10052	1405673370566	1405673370597	4	4
10:49:30.862	10316	1405673370831	1405673370862	5	5
10:49:31.128	10580	1405673371096	1405673371128	6	6
10:49:31.393	10844	1405673371362	1405673371393	7	7
10:49:31.658	11112	1405673371627	1405673371658	8	8
10:49:31.924	11376	1405673371892	1405673371924	1	9
10:49:32.189	11640	1405673372158	1405673372189	0	0
10:49:32.454	11908	1405673372423	1405673372454	1	1
10:49:32.720	12172	1405673372689	1405673372720	2	2
10:49:32.985	12436	1405673372954	1405673372985	3	3
10:49:33.251	12704	1405673373219	1405673373251	4	4
10:49:33.516	12972	1405673373485	1405673373516	5	5
10:49:33.781	13232	1405673373750	1405673373781	6	6
10:49:34.047	13500	1405673374015	1405673374047	7	7
10:49:34.312	13764	1405673374281	1405673374312	8	8
10:49:34.562	14028	1405673374546	1405673374562	1	9
10:49:34.843	14296	1405673374812	1405673374843	0	0
10:49:35.108	14560	1405673375077	1405673375108	1	1
10:49:35.374	14824	1405673375342	1405673375374	2	2
10:49:35.639	15088	1405673375608	1405673375639	3	3
10:49:35.904	15356	1405673375873	1405673375904	4	4
10:49:36.154	15624	1405673376138	1405673376154	5	5
10:49:36.435	15884	1405673376404	1405673376435	6	6
10:49:36.700	16152	1405673376669	1405673376700	7	7
10:49:36.966	32	1405673376935	1405673376966	8	8
10:49:37.231	300	1405673377200	1405673377231	1	9
10:49:37.481	560	1405673377465	1405673377481	0	0
10:49:37.762	828	1405673377731	1405673377762	1	1
10:49:38.027	1092	1405673377996	1405673378027	2	2
10:49:38.293	1356	1405673378261	1405673378293	3	3
10:49:38.558	1624	1405673378527	1405673378558	4	4
10:49:38.823	1888	1405673378792	1405673378823	5	5
10:49:39.089	2156	1405673379058	1405673379089	6	6
10:49:39.354	2420	1405673379323	1405673379354	7	7
10:49:39.620	2684	1405673379588	1405673379620	8	8
10:49:39.885	2952	1405673379854	1405673379885	1	9
10:49:40.150	3216	1405673380119	1405673380150	0	0
10:49:40.416	3480	1405673380384	1405673380416	1	1
10:49:40.681	3748	1405673380650	1405673380681	2	2
10:49:40.946	4016	1405673380915	1405673380946	3	3
10:49:41.212	4272	1405673381181	1405673381212	4	4
10:49:41.477	4540	1405673381446	1405673381477	5	5
10:49:41.728	4788	1405673381697	1405673381728	6	6
10:49:41.993	5056	1405673381962	1405673381993	7	7
10:49:42.259	5320	1405673382227	1405673382259	8	8
